PopCode,Area,Year,Week,Sex,Age,AgeInterval,Deaths,Type,Access
DEUTNP,1,2000,5,m,90,5,586,O,O
DEUTNP,1,2000,5,m,95,+,146,O,O
DEUTNP,1,2000,5,m,TOT,.,9156,O,O
DEUTNP,1,2000,5,f,0,30,96,O,O
DEUTNP,1,2000,5,f,30,5,28,O,O
DEUTNP,1,2000,5,f,35,5,53,O,O
DEUTNP,1,2000,5,f,40,5,101,O,O
DEUTNP,1,2000,5,f,45,5,130,O,O
DEUTNP,1,2000,5,f,50,5,150,O,O
DEUTNP,1,2000,5,f,55,5,292,O,O
DEUTNP,1,2000,5,f,60,5,438,O,O
DEUTNP,1,2000,5,f,65,5,564,O,O
DEUTNP,1,2000,5,f,70,5,929,O,O
DEUTNP,1,2000,5,f,75,5,1765,O,O
DEUTNP,1,2000,5,f,80,5,1578,O,O
DEUTNP,1,2000,5,f,85,5,2709,O,O
DEUTNP,1,2000,5,f,90,5,1798,O,O
DEUTNP,1,2000,5,f,95,+,603,O,O
DEUTNP,1,2000,5,f,TOT,.,11234,O,O
DEUTNP,1,2000,5,b,0,30,282,O,O
DEUTNP,1,2000,5,b,30,5,102,O,O
DEUTNP,1,2000,5,b,35,5,167,O,O
DEUTNP,1,2000,5,b,40,5,275,O,O
DEUTNP,1,2000,5,b,45,5,354,O,O
DEUTNP,1,2000,5,b,50,5,461,O,O
DEUTNP,1,2000,5,b,55,5,872,O,O
DEUTNP,1,2000,5,b,60,5,1308,O,O
DEUTNP,1,2000,5,b,65,5,1581,O,O
DEUTNP,1,2000,5,b,70,5,2218,O,O
DEUTNP,1,2000,5,b,75,5,3183,O,O
DEUTNP,1,2000,5,b,80,5,2575,O,O
DEUTNP,1,2000,5,b,85,5,3879,O,O
DEUTNP,1,2000,5,b,90,5,2384,O,O
DEUTNP,1,2000,5,b,95,+,749,O,O
DEUTNP,1,2000,5,b,TOT,.,20390,O,O
DEUTNP,1,2000,6,m,0,30,181,O,O
DEUTNP,1,2000,6,m,30,5,60,O,O
DEUTNP,1,2000,6,m,35,5,81,O,O
DEUTNP,1,2000,6,m,40,5,178,O,O
DEUTNP,1,2000,6,m,45,5,222,O,O
DEUTNP,1,2000,6,m,50,5,312,O,O
DEUTNP,1,2000,6,m,55,5,547,O,O
DEUTNP,1,2000,6,m,60,5,839,O,O
DEUTNP,1,2000,6,m,65,5,1026,O,O
DEUTNP,1,2000,6,m,70,5,1282,O,O
DEUTNP,1,2000,6,m,75,5,1277,O,O
DEUTNP,1,2000,6,m,80,5,921,O,O
DEUTNP,1,2000,6,m,85,5,1158,O,O
DEUTNP,1,2000,6,m,90,5,513,O,O
DEUTNP,1,2000,6,m,95,+,141,O,O
DEUTNP,1,2000,6,m,TOT,.,8738,O,O
DEUTNP,1,2000,6,f,0,30,92,O,O
DEUTNP,1,2000,6,f,30,5,30,O,O
DEUTNP,1,2000,6,f,35,5,53,O,O
DEUTNP,1,2000,6,f,40,5,76,O,O
DEUTNP,1,2000,6,f,45,5,109,O,O
DEUTNP,1,2000,6,f,50,5,152,O,O
DEUTNP,1,2000,6,f,55,5,258,O,O
DEUTNP,1,2000,6,f,60,5,396,O,O
DEUTNP,1,2000,6,f,65,5,570,O,O
DEUTNP,1,2000,6,f,70,5,889,O,O
DEUTNP,1,2000,6,f,75,5,1564,O,O
DEUTNP,1,2000,6,f,80,5,1476,O,O
